spent	approximated	price taken	IsMazda CX-5
11.27	11.27372381	6.93	0
24.21	24.21288409	17.87	0
32.59	32.59914511	24.11	0
17.92	17.92809057	12.71	0
21.35	21.35164511	15.3	0
17.31	17.31310094	12.49	0
19.47	19.4798806	14.91	0
24.35	24.35734532	16.98	0
17.55	17.55119328	12.2	0
19.48	19.48429832	13.69	0
30.65	30.65259628	23.14	0
12.29	12.29048082	8.11	0
10.9	10.90744544	7.29	0
30.19	30.19521682	22.04	0
44.2	44.20966145	35.63	0
31.13	31.13366494	23.01	0
32.89	32.89731985	23.65	0
43.26	43.26343946		1
33.24	33.24177667	48.2	1
49.47	49.47011017	48.2	1
